種類,音,番号,レベル1,レベル2,レベル3
短文,う,10,うらの たんぼの たうえを てつだう,,
短文,う,11,うさぎの もようの ブラウスを かう,,
短文,う,12,うどんやの てうちの うどんは うまい,,
短文,う,13,うつくしい こえで うたを うたう,,
短文,う,14,うちには うまと うしと うさぎが いる,,
短文,う,15,このおうちの うらの たんぼの たうえを てつだう,,
単語,え,1,えき,こえ,うえき
単語,え,2,えさ,ちえ,かえる
単語,え,3,えだ,つえ,こえだ
単語,え,4,えび,ふえ,ピエロ
単語,え,5,えり,まえ,まえば
単語,え,6,えいが,きがえ,きこえる
単語,え,7,えいご,こたえ,こたえる
単語,え,8,えがお,つくえ,ねがえり
単語,え,9,えのぐ,なまえ,まえあし
単語,え,10,えほん,ぬりえ,あまがえる
単語,え,11,えだまめ,うたごえ,うえきばち
単語,え,12,エプロン,えきまえ,ゆうえんち
単語,え,13,えんぴつ,くちぶえ,ようちえん
単語,え,14,えかきうた,もようがえ,いろえんぴつ
単語,え,15,エレベーター,わらいごえ,どうぶつえん
短文,え,1,いえに かえる,,
短文,え,2,うえきばちの かえる,,
短文,え,3,いろえんぴつの え,,
短文,え,4,エレベーターで わらいごえが する,,
短文,え,5,ほいくえんの えんそく,,
短文,え,6,こうえんから いえに かえる,,
短文,え,7,いえの うえきばちにいる かえる,,
短文,え,8,つくえにある いろえんぴつの え,,
短文,え,9,えきの エレベーターで わらいごえが する,,
短文,え,10,ほいくえんの えんそくは どうぶつえん,,
短文,え,11,こうえんから いえに かえって きがえる,,
短文,え,12,いえの まえにある うえきばちの かえる,,
短文,え,13,つくえの うえで いろえんぴつで えを かいた,,
短文,え,14,えきの エレベーターで わらいごえが きこえる,,
短文,え,15,ほいくえんの えんそくは どうぶつえんと こたえた,,
単語,お,1,おう,あお,かおり
単語,お,2,おか,かお,しおり
単語,お,3,おと,さお,タオル
単語,お,4,おに,しお,やおや
単語,お,5,おや,えがお,あおぞら
単語,お,6,おかし,かつお,あしおと
単語,お,7,おとな,すなお,いきおい
単語,お,8,おなか,ねがお,しおあじ
単語,お,9,おばけ,ビデオ,ちちおや
単語,お,10,おみせ,ごましお,にがおえ
単語,お,11,おうさま,スタジオ,はやおき
単語,お,12,おにぎり,つりざお,しおひがり
単語,お,13,おりがみ,ピノキオ,なかなおり
単語,お,14,おめでとう,とくいがお,バイオリン
単語,お,15,オリンピック,ものほしざお,たいおんけい
短文,お,1,おにが おってくる,,
短文,お,2,おみせの おかし,,
短文,お,3,おなかの おと,,
短文,お,4,ちちおやの にがおえ,,
短文,お,5,おりづるを おる,,
短文,お,6,あおい おにが おってくる,,
短文,お,7,おみせの おかしを かおう,,
短文,お,8,おなかの おとに おどろいた,,
短文,お,9,おこった ちちおやの にがおえ,,
短文,お,10,おりがみで おりづるを おる,,
短文,お,11,おこった あおい おにが おってくる,,
短文,お,12,おみせの おいしい おかしを かおう,,
短文,お,13,おおきな おなかの おとに おどろいた,,
短文,お,14,おこった かおの ちちおやの にがおえ,,
短文,お,15,おりがみで おりづるの おりかたを おそわる,,
単語,か,1,かお,あか,あかい
単語,か,2,かわ,いか,おかゆ
単語,か,3,かば,おか,みかん
単語,か,4,かま,たか,むかで
単語,か,5,かた,ゆか,やかん
単語,か,6,かだん,とおか,しかえし
単語,か,7,かえる,めだか,さかみち
単語,か,8,カメラ,さんか,なかよし
単語,か,9,かるた,いるか,せいかい
単語,か,10,かぼちゃ,すいか,トナカイ
単語,か,11,かまきり,あざやか,さいかい
単語,か,12,かみなり,いく らか,しょうかい
単語,か,13,かしわもち,おおさか,しかいしゃ
単語,か,14,かたつむり,あきらか,しゅく がかい
単語,か,15,カーネーション,アイスもなか,はっぴょうかい
単語,が,1,ガム,ヨガ,うがい
単語,が,2,がわ,しが,えがお
単語,が,3,がばん,えいが,おがわ
単語,が,4,がまん,まんが,はがた
単語,が,5,がめん,はんが,ながの
単語,が,6,がんばん,どうが,てがた
単語,が,7,がちょう,れんが,みがわり
単語,が,8,がびょう,しょうが,にがおえ
単語,が,9,がったい,みょうが,にいがた
単語,が,10,がいとう,ひょうが,じゃがいも
単語,が,11,がいらい,たてなが,ありがとう
単語,が,12,がようし,かくれが,ものがたり
単語,が,13,ガイダンス,にくじゃが,あまのがわ
単語,が,14,ガムテープ,じんぶつが,がまがえる
単語,が,15,ガードレール,ハンバーガー,しょうがっこう
単語,き,1,きみ,あき,あきる
単語,き,2,きば,おき,いきる
単語,き,3,きじ,わき,うきわ
単語,き,4,きた,たき,まきもの
単語,き,5,きって,てき,やきいも
単語,き,6,きいろ,にっき,まきわり
単語,き,7,きぶん,ねおき,ハイキング
単語,き,8,きなこ,ひげき,えきちょう
単語,き,9,きまり,ほうき,おつきさま
単語,き,10,きわめる,でんき,あきまつり
単語,き,11,きまぐれ,うわばき,ゆきあそび
単語,き,12,きのぼり,かたむき,かきフライ
単語,き,13,きっぱり,おおゆき,たぬきばやし
単語,き,14,きいはんとう,しょうじき,おきのとりしま
単語,き,15,きどあいらく,うれしなき,りょうきんじょ
単語,き,1,キャップ,ねなきゃ,かんきゃく
単語,き,2,キャベツ,やらなきゃ,さんきゃく
単語,き,3,キャンプ,いかなきゃ,めきゃべつ
単語,き,4,キャンディー,たべなきゃ,じょうきゃく
単語,き,5,キャッチャー,のらなきゃ,おきゃく さん
単語,き,6,きゃく しゃ,おりなきゃ,ロールキャベツ
単語,き,7,きゃく せん,こがなきゃ,ナイスキャッチ
単語,き,8,きゃく ほん,よまなきゃ,かんきゃく せき
単語,き,9,きゃく しつ,かかなきゃ,かんこうきゃく
単語,き,10,キャラクター,かわなきゃ,れいきゃく そうち
単語,き,11,キャラメル,かえらなきゃ,ごうかきゃく せん
単語,き,12,キャンセル,あらわなきゃ,ににんさんきゃく
単語,き,13,キャンペーン,はしらなきゃ,ミルクキャラメル
単語,き,14,キャットフード,あるかなきゃ,アイスキャンディー
単語,き,15,キャンドルファイヤー,かたづけなきゃ,ニュースキャスター
単語,き,1,きゅう,てで、 キュ！,ちきゅうぎ
単語,き,2,きゅうり,あしが、 キュ！,ドラキュラ
単語,き,3,きゅうす,いとを、 キュ！,ていきゅうび
単語,き,4,きゅうじょ,すなで、 キュ！,しきゅうしき
単語,き,5,きゅうしょ,つなを、 キュ！,けんきゅうじょ
単語,き,6,きゅうけい,はしを、 キュ！,いっきゅうさん
単語,き,7,きゅうかん,ひもを、 キュ！,どうきゅうせい
単語,き,8,きゅうく つ,リボンを、 キュ！,やきゅうじょう
単語,き,9,きゅうよう,ろうかで、 キュ！,おうきゅうしょち
単語,き,10,きゅうしゅう,こく ばんで、 キュ！,やきゅうせんしゅ
単語,き,11,きゅうりょう,じゃぐちを、 キュ！,ろく さいきゅうし
単語,き,12,きゅうけつき,すなはまで、 キュ！,バーベキューじょう
単語,き,13,きゅうブレーキ,スリッパで、 キュ！,きんきゅうほうそう
単語,き,14,きゅうかんちょう,ぞうきんで、 キュ！,とっきゅうれっしゃ
単語,き,15,きゅうめいどうい,ゆきみちで、 キュ！,じんこうこきゅうき
単語,き,1,きょうと,いんきょ,なんきょく
単語,き,2,きょうふ,けんきょ,ほっきょく
単語,き,3,きょだい,めんきょ,やっきょく
単語,き,4,きょねん,せんきょ,てれびきょく
単語,き,5,きょういく,しんきょ,とうきょうと
単語,き,6,きょうかい,らっきょ,ときょうそう
単語,き,7,きょうしつ,しょうきょ,ほっきょく ぐま
単語,き,8,きょうだい,ちじせんきょ,ゆうびんきょく
単語,き,9,きょうりょく,いまのめんきょ,とうきょうタワー
単語,き,10,きょうかしょ,とれたらっきょ,べんきょうづく え
単語,き,11,きょうりゅう,よこのいんきょ,れんしゅうきょく
単語,き,12,きょうじゃく,うんてんめんきょ,おんがく きょうしつ
単語,き,13,きょかねがい,すぐにしょうきょ,なんきょく たいりく
単語,き,14,きょうぎじょう,となりのしんきょ,りく じょうきょうぎ
単語,き,15,きょうどうさぎょう,もらえためんきょ,ゆうびんきょく ちょう
単語,ぎ,1,ぎゃく,うぎゃ,かぎゃく
単語,ぎ,2,ギャグ,おぎゃ,コギャル
単語,ぎ,3,ギャラ,ふぎゃ,まぎゃく
単語,ぎ,4,ギャル,ほぎゃ,ゴーギャン
単語,ぎ,5,ギャザー,くまだ、ぎゃ！,いまのギャル
単語,ぎ,6,ギャップ,サメだ、ぎゃ！,かぎゃくぶん
単語,ぎ,7,ギャフン,はちだ、ぎゃ！,たかいギャラ
単語,ぎ,8,ギャング,へびだ、ぎゃ！,さっきのギャグ
単語,ぎ,9,ぎゃくそう,おばけだ、ぎゃ！,おもしろいギャグ
単語,ぎ,10,ぎゃくてん,じしんだ、ぎゃ！,ふたりのギャング
単語,ぎ,11,ぎゃくりゅう,むかでだ、ぎゃ！,かいがギャラリー
単語,ぎ,12,ギャラリー,かみなりだ、ぎゃ！,かわのぎゃくりゅう
単語,ぎ,13,ギャロップ,ようかいだ、ぎゃ！,たちばのぎゃくてん
単語,ぎ,14,ぎゃくもどり,ゆうれいだ、ぎゃ！,まんざいしのギャグ
単語,ぎ,15,ギャザースカート,ライオンだ、ぎゃ！,さいこうがくのギャラ
単語,ぎ,1,ぎゅう,いぬと、ぎゅ！,やぎゅう
単語,ぎ,2,ぎゅうしゃ,たって、ぎゅ！,わぎゅう
単語,ぎ,3,ぎゅうすき,ねこと、ぎゅ！,すいぎゅう
単語,ぎ,4,ぎゅうタン,ママと、ぎゅ！,とうぎゅう
単語,ぎ,5,ぎゅうづめ,パパと、ぎゅ！,にくぎゅう
単語,ぎ,6,ぎゅうどん,あっちで、ぎゅ！,ひだぎゅう
単語,ぎ,7,ぎゅうなべ,こっちで、ぎゅ！,おうみぎゅう
単語,ぎ,8,ぎゅうにく,すわって、ぎゅ！,こうべぎゅう
単語,ぎ,9,ぎゅうめし,だいすき、ぎゅ！,とうぎゅうし
単語,ぎ,10,ぎゅうどんや,だっこで、ぎゅ！,まつさかぎゅう
単語,ぎ,11,ぎゅうにゅう,ないたら、ぎゅ！,よねざわぎゅう
単語,ぎ,12,ぎゅうミンチ,わらって、ぎゅ！,すいぎゅうのむれ
単語,ぎ,13,ぎゅうにゅうビン,おじいちゃんと、ぎゅ！,たかいぎゅうにく
単語,ぎ,14,ぎゅうしゃそうじ,おばあちゃんと、ぎゅ！,むしぼうぎゅうにゅう
単語,ぎ,15,ぎゅうにゅうパック,ぬいぐるみを、ぎゅ！,ていしぼうぎゅうにゅう
単語,ぎ,1,ぎょい,ちぎょ,さぎょう
単語,ぎ,2,ぎょし,きんぎょ,じゅぎょう
単語,ぎ,3,ギョロ,にんぎょ,えいぎょう
単語,ぎ,4,ギョーザ,ぼうぎょ,そつぎょう
単語,ぎ,5,ぎょうじ,もくぎょ,にんぎょう
単語,ぎ,6,ぎょかい,かいすいぎょ,のうぎょう
単語,ぎ,7,ぎょくろ,しんかいぎょ,きんぎょばち
単語,ぎ,8,ぎょこう,たんすいぎょ,すいギョーザ
単語,ぎ,9,ぎょせん,ねったいぎょ,にんぎょひめ
単語,ぎ,10,ギョロリ,じどうせいぎょ,きんぎょすくい
単語,ぎ,11,ぎょうずい,おばけだ、ぎょ！,そつぎょうしき
単語,ぎ,12,ぎょうてん,かみなりだ、ぎょ！,にんぎょうげき
単語,ぎ,13,ぎょうれつ,ていでんだ、ぎょ！,しゅうぎょうしき
単語,ぎ,14,ぎょかいるい,ようかいだ、ぎょ！,がっこうぎょうじ
単語,ぎ,15,ギョーザていしょく,ライオンだ、ぎょ！,そつぎょうしょうしょ
単語,ぎ,1,ぎん,かぎ,くぎる
単語,ぎ,2,ぎふ,くぎ,なぎさ
単語,ぎ,3,ぎし,ねぎ,はぎれ
単語,ぎ,4,ギター,みぎ,みぎて
単語,ぎ,5,ぎんざ,やぎ,おにぎり
単語,ぎ,6,ぎもん,うさぎ,かぎあな
単語,ぎ,7,ぎっしり,うなぎ,かわぎし
単語,ぎ,8,ぎんいろ,かいぎ,こむぎこ
単語,ぎ,9,ぎんなん,ふしぎ,くぎぬき
単語,ぎ,10,ぎんこう,じょうぎ,ようぎしゃ
単語,ぎ,11,ギリシャ,しらさぎ,ほととぎす
単語,ぎ,12,ぎんせかい,こおろぎ,むぎばたけ
単語,ぎ,13,ぎんメダル,たまねぎ,おとぎばなし
単語,ぎ,14,ぎんやんま,おおいそぎ,なみうちぎわ
単語,ぎ,15,ぎんメダリスト,ひらおよぎ,いそぎんちゃく
単語,く,1,く い,まく,いく ら
単語,く,2,く ま,うく,まく ら
単語,く,3,く わ,よく,オクラ
単語,く,4,く び,たく,ラクダ
単語,く,5,く り,かぞく,エクレア
単語,く,6,く じら,みがく,とく しま
単語,く,7,く ぼみ,どそく,よく ばり
単語,く,8,く らげ,さばく,しょく パン
単語,く,9,く るま,おどろく,もく ようび
単語,く,10,く ものす,かいぞく,ウクライナ
単語,く,11,く さぶえ,ごりやく,テクニック
単語,く,12,く とうてん,みんぞく,サイクリング
単語,く,13,クリスマス,ようふく,リクライニング
単語,く,14,く いしんぼう,しょうどく,いんしょく てん
単語,く,15,く りきんとん,オリンピック,こく さいく うこう
単語,ぐ,1,ぐみ,こぐ,でぐち
単語,ぐ,2,グレー,ふぐ,ねぐせ
単語,ぐ,3,グラス,どうぐ,まぐろ
単語,ぐ,4,グラム,およぐ,もぐら
単語,ぐ,5,ぐざい,えのぐ,うぐいす
単語,ぐ,6,ぐうぜん,てんぐ,どんぐり
単語,ぐ,7,ぐっすり,トング,いりぐち
単語,ぐ,8,ぐったり,リング,ながぐつ
単語,ぐ,9,グラタン,もうすぐ,はまぐり
単語,ぐ,10,ぐんしゅう,まっすぐ,めぐすり
単語,ぐ,11,ぐたいてき,リビング,かざぐるま
単語,ぐ,12,グッドラック,スイミング,サングラス
単語,ぐ,13,グランドゴルフ,ぶんぼうぐ,ぬいぐるみ
単語,ぐ,14,ぐんじょういろ,サイクリング,でんぐりがえし
単語,ぐ,15,グランドピアノ,ひっきようぐ,マカロニグラタン
単語,け,1,けん,いけ,あける
単語,け,2,ける,わけ,まける
単語,け,3,けいと,かけ,とけい
単語,け,4,けむし,さけ,ほけん
単語,け,5,けがに,たけ,やけい
単語,け,6,けむり,おばけ,ばけもの
単語,け,7,けいさん,まぬけ,ごうけい
単語,け,8,けっせき,ひづけ,おおがたけん
単語,け,9,けっかん,ひやけ,ホットケーキ
単語,け,10,けしゴム,コロッケ,たいおんけい
単語,け,11,けいじばん,あさやけ,えいごけんてい
単語,け,12,ケチャップ,ゆきどけ,にゅうがく しけん
単語,け,13,けごんのたき,ありったけ,しんけいすいじゃく
単語,け,14,けつえきがた,むぎばたけ,しゃかいかけんがく
単語,け,15,けんこく きねんび,あとかたづけ,へいこうしへんけい
単語,げ,1,げた,ひげ,あげる
単語,げ,2,げか,ゆげ,なげる
単語,げ,3,げし,とげ,にげる
単語,げ,4,ゲーム,わたげ,まげる
単語,げ,5,げんば,しあげ,ひげそり
単語,げ,6,げんき,れんげ,まんげつ
単語,げ,7,げっしゃ,ねあげ,はげしい
単語,げ,8,げんざい,とかげ,とうげい
単語,げ,9,げんじつ,くしあげ,ゆきげしき
単語,げ,10,げたばこ,やりなげ,れんげそう
単語,げ,11,げんこつ,からあげ,そうげいしゃ
単語,げ,12,げきじょう,どうあげ,みんげいひん
単語,げ,13,げっかんし,しろひげ,びょうげんきん
単語,げ,14,げつようび,たこあげ,バーゲンセール
単語,げ,15,げいのうじん,ほうがんなげ,にんぎょうげき
単語,こ,1,こい,はこ,おこる
単語,こ,2,こま,たこ,ずこう
単語,こ,3,こな,よこ,やこう
単語,こ,4,ことり,パンこ,たこやき
単語,こ,5,こたつ,みやこ,のこぎり
単語,こ,6,このは,インコ,だいこん
単語,こ,7,こうばん,のらねこ,エコバッグ
単語,こ,8,こがらし,あきばこ,やこうバス
単語,こ,9,こんにちは,ふでばこ,ねこじゃらし
単語,こ,10,こばんざめ,おにごっこ,とうもろこし
単語,こ,11,こうさてん,れいぞうこ,がいこく じん
単語,こ,12,こはるびより,めんたいこ,しんこうほうこう
単語,こ,13,コンピューター,いたずらっこ,きゅうこうれっしゃ
単語,こ,14,こうつうあんぜん,プエルトリコ,ほこうしゃしんごう
単語,こ,15,コンタクトレンズ,やまとなでしこ,さいこうさいばんしょ
単語,ご,1,ごま,あご,うごく
単語,ご,2,ごみ,かご,すごい
単語,ご,3,ゴム,まご,しごと
単語,ご,4,ごはん,いちご,ねごと
単語,ご,5,ごぼう,えいご,けしゴム
単語,ご,6,ゴリラ,りんご,いぬごや
単語,ご,7,ごがつ,たまご,おみごと
単語,ご,8,ごうけい,だんご,うたごえ
単語,ご,9,ごみばこ,はしご,あさごはん
単語,ご,10,ごましお,ほうかご,オルゴール
単語,ご,11,ごはんつぶ,とりかご,かきごおり
単語,ご,12,ごまあぶら,にほんご,しちごさん
単語,ご,13,ごめんなさい,あおりんご,ひとりごと
単語,ご,14,ごはんぢゃわん,がいこくご,わらいごえ
単語,ご,15,ごちそうさまでした,だしまきたまご,きぬごしどうふ
単語,さ,1,さお,かさ,とさか
単語,さ,2,さば,くさ,はさみ
単語,さ,3,さい,ふさ,わさび
単語,さ,4,さとう,とさ,もさく
単語,さ,5,さいふ,いくさ,こうさく
単語,さ,6,さかな,はやさ,まさゆめ
単語,さ,7,さわがに,うわさ,むらさき
単語,さ,8,サボテン,あまがさ,おかあさん
単語,さ,9,さくらんぼ,かれくさ,あさねぼう
単語,さ,10,さかあがり,はやぶさ,ひさしぶり
単語,さ,11,さどきんざん,ぺんぺんぐさ,ひとさしゆび
単語,さ,12,サンドウィッチ,おりたたみがさ,ゆうびんやさん
単語,さ,13,サッカーボール,しりょくけんさ,けんさにゅういん
単語,さ,14,さくらのたより,はるのななくさ,ほっかいどうさん
単語,さ,15,さんかくじょうぎ,がっきゅうへいさ,ピアノコンサート
単語,ざ,1,ざる,わざ,かざん
単語,ざ,2,ざっか,ピザ,きざむ
単語,ざ,3,ざしき,ひざ,とざん
単語,ざ,4,ざいす,せいざ,いざこざ
単語,ざ,5,ざらめ,ねんざ,さざんか
単語,ざ,6,ざくろ,どげざ,こざとへん
単語,ざ,7,ざんねん,ぎょうざ,げんざいち
単語,ざ,8,ざりがに,かみわざ,たざんのいし
単語,ざ,9,ざるそば,ことわざ,こおりざとう
単語,ざ,10,ざいりょう,オリオンざ,えいようざい
単語,ざ,11,ざっきょビル,とくいわざ,こうざんびょう
単語,ざ,12,ざっかやさん,ちからわざ,あしおどうざん
単語,ざ,13,ざいこうせい,カシオペヤざ,ハザードマップ
単語,ざ,14,ざんねんしょう,よきんこうざ,とうざいなんぼく
単語,ざ,15,ざっしょくどうぶつ,らくいちらくざ,みざるいわざるきかざる
単語,し,1,しゃこ,いしゃ,おしゃれ
単語,し,2,シャツ,ばしゃ,く しゃみ
単語,し,3,しゃかい,きしゃ,じしゃく
単語,し,4,しゃしん,かいしゃ,ひしゃく
単語,し,5,しゃどう,かんしゃ,だんしゃく
単語,し,6,しゃりん,でんしゃ,おしゃべり
単語,し,7,しゃみせん,やく しゃ,スペシャル
単語,し,8,しゃく はち,じてんしゃ,どしゃぶり
単語,し,9,しゃっく り,じどうしゃ,ポロシャツ
単語,し,10,しゃく なげ,はしごしゃ,ワイシャツ
単語,し,11,シャンプー,いちりんしゃ,ティーシャツ
単語,し,12,しゃぼんだま,じかようしゃ,コマーシャル
単語,し,13,シャトルバス,かんらんしゃ,じょうしゃけん
単語,し,14,しゃく とりむし,さんりんしゃ,ちゅうしゃじょう
単語,し,15,シャープペンシル,じょうききかんしゃ,スペースシャトル
単語,し,1,しゅみ,かしゅ,ゆしゅつ
単語,し,2,しゅわ,ほしゅ,がいしゅつ
単語,し,3,しゅいろ,あく しゅ,ていしゅつ
単語,し,4,しゅうい,ししゅう,みんしゅく
単語,し,5,しゅげい,せんしゅ,マシュマロ
単語,し,6,しゅもく,はく しゅ,パラシュート
単語,し,7,しゅうじ,とうしゅ,てんしゅかく
単語,し,8,しゅやく,ダッシュ,あく しゅかい
単語,し,9,しゅうかん,フラッシュ,いっしゅうかん
単語,し,10,しゅっせき,フレッシュ,さいしゅうかい
単語,し,11,しゅく はく,かじつしゅ,マッシュポテト
単語,し,12,しゅうてん,ぶどうしゅ,レインシューズ
単語,し,13,しゅうごう,うんてんしゅ,れんしゅうちゅう
単語,し,14,シュークリーム,よぼうせっしゅ,こうしゅうでんわ
単語,し,15,しゅうぎょうしき,スポーツせんしゅ,のうしゅく ジュース
単語,し,1,ショー,ばしょ,わしょく
単語,し,2,しょうぎ,いっしょ,ようしょく
単語,し,3,しょうぶ,さいしょ,としょかん
単語,し,4,しょく じ,ないしょ,ゆうしょく
単語,し,5,しょうこ,どく しょ,ちょうしょく
単語,し,6,しょるい,じゅうしょ,きゅうしょく
単語,し,7,しょうかき,ちょうしょ,ちゅうしょく
単語,し,8,しょうとつ,きょうかしょ,おしょうがつ
単語,し,9,しょうねん,せつめいしょ,かしょうりょく
単語,し,10,しょく パン,けいさつしょ,うちゅうしょく
単語,し,11,しょく じかい,はつでんしょ,ひじょうしょく
単語,し,12,しょうがっこう,さいばんしょ,がっしょうかい
単語,し,13,しょうぼうしゃ,しょうぼうしょ,ないしょばなし
単語,し,14,しょうてんがい,みんないっしょ,きしょうよほうし
単語,し,15,ショートケーキ,いちばんさいしょ,いっしょうけんめい
単語,し,1,しま,わし,マシン
単語,し,2,しか,なし,にしび
単語,し,3,した,とし,めしべ
単語,し,4,しぼる,くらし,はしおき
単語,し,5,しかけ,けむし,けしゴム
単語,し,6,しびれ,こいし,たしざん
単語,し,7,しっかり,おみこし,マシンガン
単語,し,8,しばらく,がようし,ひょうしき
単語,し,9,しらない,あおむし,カシオペアざ
単語,し,10,しやくしょ,うんてんし,むかしばなし
単語,し,11,しいくばこ,しんぶんし,でんしピアノ
単語,し,12,しおひがり,アルミサッシ,ひやしちゅうか
単語,し,13,しおこしょう,あたまごなし,あげだしどうふ
単語,し,14,シンガポール,おたまじゃくし,へいこうしへんけい
単語,し,15,システムエンジニア,おきあがりこぼし,おしくらまんじゅう
単語,じ,1,ジャズ,えんじゃ,おじゃま
単語,じ,2,じゃま,おうじゃ,く じゃく
単語,じ,3,ジャム,かんじゃ,パジャマ
単語,じ,4,じゃぐち,けんじゃ,むじゃき
単語,じ,5,ジャパン,じんじゃ,きょうじゃく
単語,じ,6,ジャンプ,せいじゃ,ゴージャス
単語,じ,7,ジャンボ,だいじゃ,たまじゃり
単語,じ,8,じゃがいも,にんじゃ,にく じゃが
単語,じ,9,じゃく てん,いがにんじゃ,びょうじゃく
単語,じ,10,ジャケット,こうがにんじゃ,まきじゃく
単語,じ,11,ジャスミン,こわいだいじゃ,あまのじゃく
単語,じ,12,じゃりみち,げきのえんじゃ,いちごジャム
単語,じ,13,じゃんけん,しあいのおうじゃ,かおじゃしん
単語,じ,14,ジャングルジム,ちかく のじんじゃ,おたまじゃく し
単語,じ,15,ジャイアントパンダ,きんきゅうかんじゃ,ちりめんじゃこ
単語,じ,1,じゅく,かじゅ,ぎじゅつ
単語,じ,2,じゅず,きじゅ,しゅじゅつ
単語,じ,3,じゅり,さんじゅ,のじゅく
単語,じ,4,じゅうい,しんじゅ,ばじゅつ
単語,じ,5,じゅうしょ,そつじゅ,かじゅえん
単語,じ,6,ジュース,ちょうじゅ,げいじゅつ
単語,じ,7,じゅぎょう,はく じゅ,はんじゅく
単語,じ,8,じゅけん,ひゃく じゅ,まじゅつし
単語,じ,9,じゅんび,ベージュ,しじゅうから
単語,じ,10,じゅうたん,げっけいじゅ,しんじゅがい
単語,じ,11,じゅうでん,こいベージュ,びじゅつかん
単語,じ,12,じゅうどう,こうようじゅ,ふく わじゅつ
単語,じ,13,じゅんばん,しんしんじゅ,さいみんじゅつ
単語,じ,14,じゅんかんバス,らく ようじゅ,たいじゅうけい
単語,じ,15,じゅうりょうあげ,しろいしんじゅ,りんごジュース
単語,じ,1,じょい,く じょ,ほじょいす
単語,じ,2,じょし,ほじょ,かいじょけん
単語,じ,3,じょうぎ,まじょ,すいじょうき
単語,じ,4,じょうば,えんじよ,だいじょうぶ
